latitude,longitude,count
42.3478,-71.0816,1
42.3524,-71.0713,1
42.3628,-71.0699,1
42.2719,-71.0681,1
42.2718,-71.068,1
42.364,-71.0555,2
42.3633,-71.056,9
42.3536,-71.1369,13
42.3488,-71.0713,1
42.3612,-71.0568,1
42.3524,-71.0631,12
42.3423,-71.1038,6
42.3573,-71.0684,2
42.3421,-71.0876,1
42.3435,-71.0867,4
42.3602,-71.0603,7
42.3463,-71.0789,1
42.3447,-71.0375,3
42.3582,-71.0534,7
42.3447,-71.0794,1
42.3482,-71.0743,2
42.3595,-71.0555,5
42.3534,-71.0566,3
42.3461,-71.0869,1
42.3625,-71.0623,1
42.343,-71.0812,2
42.344,-71.0325,9
42.3386,-71.1039,2
42.3501,-71.0712,1
42.3548,-71.0517,6
42.3637,-71.0204,3
42.3647,-71.0598,2
42.3661,-71.0526,2
42.3408,-71.0879,2
42.3615,-71.0688,5
42.3568,-71.0542,65
42.3641,-71.0699,3
42.3646,-71.069,3
42.3513,-71.0852,1
42.3599,-71.0506,525
42.3575,-71.0611,110
42.3626,-71.0184,34
42.3619,-71.0657,3
42.3463,-71.0954,17
42.3369,-71.0751,1
42.3504,-71.0905,2
42.3571,-71.0701,3
42.3501,-71.0414,10
42.3614,-71.0688,6
42.3497,-71.0639,1
42.3413,-71.0692,1
42.3495,-71.0436,1
42.3498,-71.1039,28
42.3585,-71.0554,4
42.3378,-71.109,1
42.3651,-71.0176,1
42.3526,-71.0605,1
42.3462,-71.0756,34
42.3524,-71.0627,36
42.3382,-71.0966,2
42.341,-71.0875,5
42.3494,-71.0792,25
42.3485,-71.0706,1
42.3403,-71.0713,1
42.3476,-71.0438,4
42.3509,-71.0708,2
42.3666,-71.0182,2
42.3497,-71.0804,9
42.3528,-71.0458,5
42.3572,-71.0542,4
42.3472,-71.051,1
42.3441,-71.0896,6
42.3453,-71.0957,4
42.359,-71.0522,13
42.3441,-71.0993,35
42.3517,-71.0666,1
42.3521,-71.0554,17
42.3289,-71.0553,2
42.3589,-71.0537,3
42.3533,-71.058,7
42.3372,-71.0986,2
42.3535,-71.0621,7
42.3439,-71.0348,1
42.3645,-71.0536,15
42.3586,-71.0574,11
42.3289,-71.0574,2
42.3431,-71.0736,6
42.354,-71.0504,1
42.336,-71.1059,1
42.354,-71.1365,3
42.3601,-71.0524,1
42.3512,-71.0639,4
42.3427,-71.0847,23
42.3356,-71.0381,25
42.3486,-71.0969,28
42.3646,-71.0632,4
42.3456,-71.085,1
42.336,-71.1069,2
42.3624,-71.0647,3
42.343,-71.0971,10
42.3624,-71.068,1
42.3494,-71.0391,2
42.3008,-71.1145,104
42.3652,-71.0624,7
42.3418,-71.1041,5
42.335,-71.1018,1
42.3472,-71.0762,3
42.3441,-71.0388,1
42.3559,-71.0707,13
42.362,-71.0626,1
42.3602,-71.0595,2
42.3684,-71.0223,1
42.3443,-71.0995,2
42.3503,-71.0714,2
42.3376,-71.1031,1
42.3571,-71.0557,1
42.3487,-71.0698,2
42.3646,-71.0624,7
42.3523,-71.0562,4
42.3545,-71.1325,9
42.3471,-71.0855,1
42.3481,-71.0966,2
42.3341,-71.1047,3
42.3405,-71.0413,3
42.3527,-71.0584,1
42.3437,-71.0824,1
42.342,-71.0965,1
42.3513,-71.0817,1
42.3503,-71.0565,635
42.3567,-71.0554,3
42.3617,-71.0672,20
42.3582,-71.0628,5
42.3487,-71.0886,48
42.3549,-71.0621,1
42.3543,-71.0617,10
42.3545,-71.1326,2
42.3516,-71.1187,64
42.3475,-71.0802,23
42.3646,-71.0184,1
42.3683,-71.1238,2
42.3457,-71.0796,1
42.3408,-71.0875,1
42.3535,-71.1378,9
42.3523,-71.0669,1
42.3547,-71.0624,1
42.3519,-71.0775,1
42.344,-71.095,1
42.3497,-71.0421,1
42.296,-71.0615,1
42.3557,-71.072,6
42.3465,-71.087,1
42.3649,-71.0615,21
42.3491,-71.0995,9
42.3553,-71.0527,11
42.3446,-71.0279,16
42.3478,-71.098,20
42.3505,-71.0732,1
42.3476,-71.0929,1
42.349,-71.0395,5
42.3551,-71.0508,3
42.3529,-71.0709,70
42.3519,-71.0772,1
42.3506,-71.0514,2
42.3527,-71.0551,41
42.3639,-71.122,1
42.3531,-71.0819,2
42.3589,-71.0701,2
42.3443,-71.0665,1
42.3385,-71.0506,1
42.3541,-71.0532,5
42.3563,-71.0556,2
42.3487,-71.0627,2
42.367,-71.0522,8
42.3379,-71.1075,2
42.298,-71.0608,2
42.357,-71.0567,5
42.3487,-71.0388,41
42.35,-71.1295,1
42.3512,-71.1176,15
42.3531,-71.048,6
42.3455,-71.0868,15
42.3689,-71.022,1
42.3341,-71.1043,14
42.3456,-71.0815,60
42.3316,-71.0555,3
42.3547,-71.0509,1
42.341,-71.0786,1
42.3496,-71.0401,2
42.3566,-71.057,1
42.3459,-71.0829,8
42.3538,-71.0534,86
42.3652,-71.0178,1
42.3507,-71.0678,5
42.3529,-71.0706,1
42.3485,-71.0791,24
42.3495,-71.071,3
42.3367,-71.0477,14
42.3529,-71.1351,1
42.3445,-71.0987,5
42.3659,-71.1246,1
42.3522,-71.0562,12
42.3386,-71.0926,4
42.3558,-71.0714,25
42.3494,-71.095,18
42.3692,-71.0197,14
42.3489,-71.0919,5
42.349,-71.0397,10
42.3371,-71.0981,1
42.3475,-71.0775,1
42.3597,-71.066,3
42.3506,-71.0702,13
42.3403,-71.0909,1
42.3488,-71.0382,10
42.3661,-71.061,1
42.3511,-71.0407,1
42.3479,-71.076,98
42.3492,-71.0879,2
42.3697,-71.0206,6
42.3558,-71.0518,16
42.3442,-71.0335,1
42.3519,-71.074,4
42.3468,-71.0818,4
42.3405,-71.0702,3
42.3512,-71.0739,11
42.3656,-71.0181,4
42.3461,-71.0795,1
42.3634,-71.0665,1
42.3485,-71.0465,1
42.3481,-71.0504,1
42.3533,-71.0645,41
42.3465,-71.0814,25
42.355,-71.053,3
42.3515,-71.0804,20
42.3654,-71.123,1
42.3511,-71.0572,3
42.3589,-71.0696,1
42.3527,-71.0759,6
42.3521,-71.0536,1
42.343,-71.0669,9
42.3482,-71.0396,239
42.3507,-71.0655,9
42.3592,-71.0595,30
42.3401,-71.072,2
42.3555,-71.06,2
42.3288,-71.0569,2
42.3456,-71.0975,1
42.3539,-71.058,7
42.3468,-71.0851,23
42.3301,-71.0586,1
42.35,-71.0804,1
42.3657,-71.0211,3
42.3505,-71.0711,1
42.3517,-71.0558,42
42.3521,-71.057,6
42.3364,-71.1511,5
42.3546,-71.0762,1
42.3492,-71.0797,16
42.3549,-71.0547,1
42.349,-71.0967,54
42.3365,-71.0772,8
42.3501,-71.0883,1
42.3518,-71.0783,5
42.3633,-71.0175,1
42.3499,-71.0415,41
42.3585,-71.0652,1
42.3499,-71.0755,3
42.3496,-71.0436,1
42.3634,-71.0668,3
42.35,-71.0867,1
42.3522,-71.063,9
42.3468,-71.0835,2
42.3575,-71.0518,29
42.3553,-71.0619,1
42.3644,-71.0684,4
42.3495,-71.0867,1
42.3612,-71.0672,47
42.3484,-71.0798,2
42.3672,-71.0236,2
42.3595,-71.0596,25
42.3576,-71.0601,18
42.3513,-71.0725,11
42.3537,-71.0545,1
42.3512,-71.0587,1
42.3531,-71.0763,1
42.3483,-71.0724,20
42.3364,-71.0768,89
42.3491,-71.0682,2
42.3532,-71.1182,6
42.3353,-71.0458,12
42.3458,-71.0818,21
42.353,-71.0458,9
42.3438,-71.088,2
42.3496,-71.0765,66
42.3459,-71.0856,7
42.3647,-71.0686,2
42.3478,-71.0447,2
42.3511,-71.1699,1
42.3462,-71.0783,1
42.361,-71.0681,7
42.3504,-71.0431,1
42.362,-71.0702,3
42.3505,-71.0686,26
42.343,-71.0825,6
42.3551,-71.0595,1
42.3541,-71.0619,7
42.3451,-71.0861,1
42.3508,-71.099,1
42.3518,-71.0733,18
42.3481,-71.0367,20
42.3539,-71.0777,1
42.3544,-71.0592,4
42.2977,-71.0608,1
42.3437,-71.0882,9
42.349,-71.0815,81
42.3607,-71.0598,1
42.3607,-71.0555,4
42.3489,-71.0716,5
42.3359,-71.0466,3
42.3444,-71.0832,1
42.3598,-71.0512,21
42.3466,-71.0838,1
42.356,-71.0731,1
42.3353,-71.107,1
42.3514,-71.1165,3
42.3582,-71.0552,2
42.3557,-71.055,3
42.3522,-71.0841,1
42.3551,-71.0724,14
42.3574,-71.0535,2
42.3511,-71.063,27
42.3602,-71.0516,1
42.3466,-71.0408,1
42.3403,-71.0716,1
42.3364,-71.0473,5
42.3565,-71.0615,3
42.3505,-71.0651,21
42.3374,-71.0995,1
42.3515,-71.0574,1
42.3513,-71.0853,2
42.3383,-71.1062,31
42.3497,-71.093,1
42.3518,-71.0623,4
42.3539,-71.0545,5
42.3473,-71.0772,1
42.36,-71.0556,1
42.3645,-71.0202,1
42.346,-71.0937,7
42.3369,-71.0976,2
42.3641,-71.0615,15
42.364,-71.0187,3
42.347,-71.1036,6
42.3462,-71.0757,1
42.3542,-71.0617,6
42.353,-71.06,1
42.3638,-71.0211,1
42.3589,-71.0628,3
42.3596,-71.0593,2
42.3624,-71.0205,3
42.3516,-71.0504,8
42.3552,-71.0584,2
42.359,-71.0524,12
42.3521,-71.0689,8
42.37,-71.0213,2
42.351,-71.1314,8
42.3387,-71.0927,21
42.3405,-71.0781,20
42.3486,-71.0805,7
42.365,-71.061,2
42.3576,-71.0673,2
42.2994,-71.114,1
42.3408,-71.1019,1
42.357,-71.0657,30
42.3675,-71.0578,20
42.336,-71.1105,1
42.3489,-71.0817,198
42.3522,-71.0849,1
42.353,-71.078,1
42.3614,-71.0626,6
42.3481,-71.0729,3
42.336,-71.1056,5
42.3491,-71.0955,4
42.344,-71.028,1
42.3426,-71.0913,2
42.346,-71.1036,3
42.341,-71.0912,4
42.3587,-71.0551,5
42.3704,-71.0202,1
42.3494,-71.0664,1
42.3495,-71.0834,5
42.351,-71.0641,25
42.3486,-71.0638,24
42.3473,-71.0972,4
42.3578,-71.0615,4
42.3478,-71.0762,320
42.3595,-71.0547,5
42.3456,-71.0517,1
42.3445,-71.1018,1
42.3372,-71.1524,1
42.3523,-71.125,7
42.3664,-71.0171,101
42.3628,-71.0511,16
42.3492,-71.0951,15
42.3351,-71.1022,10
42.3441,-71.0271,5
42.345,-71.0962,53
42.2678,-71.0935,1
42.3519,-71.0768,1
42.3481,-71.04,56
42.334,-71.1051,57
42.35,-71.0848,3
42.3512,-71.0757,3
42.3617,-71.0191,2
42.3627,-71.0689,20
42.3496,-71.0769,3
42.3497,-71.0758,7
42.3543,-71.0719,8
42.3584,-71.053,1
42.3415,-71.0883,2
42.3539,-71.0624,4
42.3512,-71.0723,1
42.3654,-71.0215,16
42.3487,-71.0663,1
42.3577,-71.0603,29
42.3602,-71.0508,1
42.3464,-71.0851,36
42.336,-71.1,5
42.3532,-71.0617,2
42.3654,-71.0188,2
42.339,-71.0513,2
42.3464,-71.0936,5
42.338,-71.1059,10
42.3674,-71.0531,13
