latitude,longitude,count
42.3478,-71.0816,1
42.3628,-71.0699,2
42.364,-71.118,1
42.3633,-71.056,2
42.3536,-71.1369,1
42.3488,-71.0713,1
42.3524,-71.0631,9
42.3423,-71.1038,2
42.3573,-71.0684,1
42.3402,-71.0904,1
42.3435,-71.0867,2
42.349,-71.0992,3
42.3602,-71.0603,2
42.3447,-71.0375,1
42.3455,-71.079,1
42.3602,-71.063,1
42.3378,-71.0749,6
42.3517,-71.0543,1
42.3595,-71.118,1
42.3625,-71.0623,1
42.3526,-71.0737,1
42.3576,-71.055,3
42.344,-71.0325,1
42.3386,-71.1039,3
42.3548,-71.0517,5
42.3647,-71.0598,1
42.3449,-71.0702,75
42.3615,-71.0688,1
42.3568,-71.0542,47
42.3641,-71.0699,2
42.3646,-71.069,7
42.3513,-71.0852,2
42.3599,-71.0506,552
42.3575,-71.0611,64
42.3626,-71.0184,39
42.3619,-71.0657,1
42.3504,-71.102,1
42.3463,-71.0954,13
42.3373,-71.1077,2
42.3478,-71.0819,2
42.3571,-71.0701,1
42.3369,-71.1026,1
42.3614,-71.0688,2
42.2872,-71.0639,2
42.3495,-71.0436,2
42.3506,-71.1669,1
42.3498,-71.1039,11
42.3471,-71.0986,62
42.3517,-71.0501,1
42.3651,-71.0176,1
42.3526,-71.0605,5
42.3544,-71.0592,3
42.3524,-71.0627,26
42.3444,-71.0714,1
42.341,-71.0875,2
42.3388,-71.0902,1
42.3494,-71.0792,7
42.3446,-71.0656,2
42.3476,-71.0438,2
42.3509,-71.0708,1
42.3666,-71.0182,2
42.3398,-71.0897,1
42.3497,-71.0804,5
42.3528,-71.0458,1
42.3572,-71.0542,5
42.3441,-71.0896,5
42.3453,-71.0957,4
42.359,-71.0522,4
42.3441,-71.0993,11
42.3521,-71.0554,10
42.3289,-71.0553,2
42.3589,-71.0537,6
42.3488,-71.0964,23
42.3458,-71.0821,19
42.3535,-71.0621,3
42.3645,-71.0536,8
42.3422,-71.1027,1
42.3431,-71.0736,7
42.354,-71.1365,1
42.342,-71.0966,2
42.3427,-71.0847,14
42.3356,-71.1006,5
42.3486,-71.0969,15
42.3646,-71.0632,4
42.336,-71.1069,1
42.3624,-71.0647,11
42.3449,-71.0867,4
42.3494,-71.1016,1
42.3008,-71.1145,62
42.3519,-71.0644,2
42.3418,-71.1041,2
42.359,-71.0653,1
42.3538,-71.0551,1
42.3472,-71.0762,1
42.3559,-71.0707,6
42.3403,-71.087,1
42.3521,-71.0888,1
42.3602,-71.0595,1
42.3684,-71.0223,1
42.3551,-71.0619,2
42.3571,-71.0557,8
42.3646,-71.0624,1
42.3595,-71.0555,2
42.3523,-71.0562,9
