latitude,longitude,count
42.3407,-71.0541,1
42.3511,-71.0765,1
42.364,-71.0555,6
42.3633,-71.056,10
42.3536,-71.1369,9
42.3488,-71.0713,1
42.3614,-71.0688,3
42.3423,-71.1038,5
42.3573,-71.0684,3
42.3481,-71.0899,1
42.3435,-71.0867,6
42.3602,-71.063,2
42.3378,-71.0749,4
42.3482,-71.0743,1
42.3595,-71.0555,3
42.3534,-71.0566,1
42.343,-71.0812,1
42.344,-71.0325,39
42.3376,-71.0487,1
42.2724,-71.0687,1
42.3489,-71.0753,1
42.3548,-71.0517,11
42.3636,-71.1256,1
42.3615,-71.0688,2
42.3568,-71.0542,25
42.3646,-71.069,3
42.3513,-71.0852,4
42.3449,-71.0856,1
42.3599,-71.0506,822
42.3575,-71.0611,127
42.3626,-71.0184,17
42.3463,-71.0954,14
42.3504,-71.0905,1
42.3477,-71.1049,1
42.3369,-71.1026,1
42.3524,-71.0631,20
42.2872,-71.0639,3
42.3413,-71.0692,1
42.3495,-71.0436,2
42.3506,-71.1669,7
42.3652,-71.0692,1
42.3498,-71.0414,23
42.3585,-71.0554,4
42.3436,-71.0791,2
42.3651,-71.0176,1
42.3569,-71.0649,1
42.3526,-71.0605,6
42.3544,-71.0592,8
42.3524,-71.0627,26
42.3382,-71.0966,3
42.341,-71.0875,4
42.3612,-71.0628,6
42.3494,-71.0792,17
42.3349,-71.1032,1
42.3642,-71.0224,3
42.3509,-71.0708,1
42.3666,-71.0182,1
42.3398,-71.0897,1
42.3497,-71.0804,13
42.3528,-71.0458,2
42.3572,-71.0542,1
42.3472,-71.051,3
42.3441,-71.0271,4
42.3453,-71.0957,16
42.359,-71.0522,23
42.3441,-71.0993,18
42.3464,-71.0851,34
42.3289,-71.0553,2
42.3589,-71.0537,6
42.3508,-71.0704,6
42.3458,-71.0821,21
42.3535,-71.0621,7
42.3472,-71.094,1
42.3645,-71.0536,21
42.3422,-71.1027,1
42.3431,-71.0736,12
42.354,-71.0504,2
42.354,-71.1365,6
42.3601,-71.0524,2
42.3427,-71.0847,25
42.3356,-71.0381,52
42.3512,-71.0922,1
42.3486,-71.0969,21
42.3646,-71.0632,10
42.3456,-71.085,4
42.3521,-71.1319,2
42.3513,-71.1699,1
42.343,-71.0971,4
42.3466,-71.1063,1
