latitude,longitude,count
42.3524,-71.0713,1
42.364,-71.0555,6
42.3633,-71.056,6
42.3536,-71.1369,5
42.3488,-71.0713,1
42.3614,-71.0688,1
42.3423,-71.1038,5
42.3481,-71.0899,1
42.3435,-71.0867,6
42.3534,-71.0419,1
42.3602,-71.0603,6
42.3463,-71.0789,1
42.3447,-71.0375,3
42.3442,-71.0897,3
42.3598,-71.0517,11
42.3583,-71.0698,1
42.344,-71.0325,9
42.3501,-71.0712,1
42.3548,-71.0517,7
42.3408,-71.0879,4
42.3615,-71.0688,1
42.3568,-71.0542,6
42.363,-71.0168,1
42.3646,-71.069,3
42.3426,-71.0893,2
42.3365,-71.1484,1
42.3599,-71.0506,668
42.3575,-71.0611,81
42.3626,-71.0184,35
42.3463,-71.0954,11
42.3373,-71.1077,1
42.3478,-71.0819,4
42.3571,-71.0701,3
42.3501,-71.0414,13
42.3524,-71.0631,8
42.3619,-71.0198,1
42.3388,-71.0978,1
42.3495,-71.0436,3
42.3506,-71.1669,7
42.3652,-71.0692,2
42.3498,-71.1039,15
42.343,-71.0913,1
42.357,-71.0666,2
42.3436,-71.0791,1
42.3651,-71.0176,1
42.3526,-71.0605,8
42.3525,-71.0471,1
42.3462,-71.0756,31
42.3524,-71.0627,39
42.3478,-71.0818,2
42.341,-71.0875,5
42.3494,-71.0792,20
42.3476,-71.0438,2
42.3509,-71.0708,2
42.3666,-71.0182,2
42.3398,-71.0897,1
42.3497,-71.0804,5
42.3528,-71.0458,2
42.3441,-71.0896,6
42.3453,-71.0957,6
42.3641,-71.0219,1
42.3634,-71.0172,1
42.359,-71.0522,28
42.3441,-71.0993,14
42.3438,-71.0269,1
42.3464,-71.0851,32
42.3289,-71.0553,2
42.3589,-71.0537,5
42.3488,-71.0964,62
42.3459,-71.0858,4
42.3535,-71.0621,2
42.3645,-71.0536,9
42.344,-71.0389,1
42.3431,-71.0736,9
42.354,-71.1365,3
42.3601,-71.0524,1
42.3427,-71.0847,24
42.3356,-71.0381,46
42.3486,-71.0969,21
42.3646,-71.0632,15
42.3456,-71.085,2
42.3521,-71.0694,20
42.3634,-71.0648,1
42.343,-71.0971,6
42.3494,-71.0391,1
42.3008,-71.1145,80
42.3652,-71.0624,6
42.3536,-71.0494,1
42.3472,-71.0762,3
42.3441,-71.0388,1
42.3559,-71.0707,9
42.362,-71.0626,1
42.3538,-71.1376,1
42.3538,-71.0475,2
42.3551,-71.0619,4
42.3656,-71.0599,1
42.3458,-71.0884,3
42.3646,-71.0624,13
42.3569,-71.0705,1
42.3545,-71.1325,16
42.3471,-71.0855,1
42.3341,-71.1047,4
42.356,-71.0527,5
42.3609,-71.0715,2
42.3597,-71.0668,1
42.3513,-71.0817,1
42.3503,-71.0565,691
42.3494,-71.079,3
42.3469,-71.0864,1
42.3617,-71.0672,11
42.362,-71.0721,1
