latitude,longitude,count
42.3478,-71.0816,1
42.3425,-71.1015,1
42.364,-71.0555,3
42.3633,-71.056,7
42.3536,-71.1369,7
42.3488,-71.0713,1
42.3524,-71.0631,9
42.3423,-71.1038,6
42.3573,-71.0684,3
42.3435,-71.0867,4
42.3602,-71.0603,3
42.3447,-71.0375,4
42.3378,-71.0749,4
42.3517,-71.0543,1
42.3595,-71.0555,6
42.3569,-71.058,1
42.3518,-71.0743,5
42.344,-71.0325,1
42.3386,-71.1039,2
42.3548,-71.0517,12
42.3637,-71.0204,1
42.3526,-71.045,1
42.3449,-71.0702,119
42.3615,-71.0688,8
42.3568,-71.0542,87
42.363,-71.0168,1
42.3646,-71.069,1
42.3513,-71.0852,2
42.3599,-71.0506,566
42.3575,-71.0611,85
42.3626,-71.0184,25
42.3619,-71.0657,1
42.3503,-71.0646,2
42.3478,-71.0819,2
42.3451,-71.1006,10
42.3501,-71.0414,7
42.3617,-71.0714,1
42.3614,-71.0688,7
42.3497,-71.0639,6
42.3413,-71.0692,1
42.3495,-71.0436,2
42.3652,-71.0692,1
42.3498,-71.0414,15
42.3499,-71.0755,4
42.3436,-71.0791,1
42.3378,-71.109,1
42.3547,-71.0589,2
42.3526,-71.0605,1
42.3462,-71.0756,11
42.3524,-71.0627,20
42.3575,-71.058,4
42.341,-71.0875,3
42.3494,-71.0792,12
42.3403,-71.0713,2
42.3476,-71.0438,3
42.3486,-71.0511,1
42.3509,-71.0708,7
42.3666,-71.0182,1
42.3497,-71.0804,7
42.3522,-71.1362,1
42.3572,-71.0542,6
42.3202,-71.0479,1
42.3472,-71.051,2
42.3525,-71.0721,1
42.3441,-71.0896,5
42.3453,-71.0957,10
42.3634,-71.0172,1
42.359,-71.0522,12
42.3441,-71.0993,12
42.3464,-71.0851,36
42.3507,-71.0827,5
42.3589,-71.0537,3
42.3533,-71.058,12
42.3458,-71.0821,24
42.3535,-71.0621,3
42.3644,-71.062,3
42.3381,-71.091,1
42.344,-71.0389,1
42.3431,-71.0736,6
42.354,-71.1365,3
42.3427,-71.0847,32
42.3356,-71.1006,4
42.3486,-71.0969,14
42.3646,-71.0632,2
42.3456,-71.085,7
42.3392,-71.0917,4
42.3624,-71.0647,8
42.343,-71.0971,4
42.3624,-71.068,1
42.3494,-71.0391,2
42.3435,-71.0996,1
42.3008,-71.1145,98
42.3652,-71.0624,4
42.3418,-71.1041,2
42.3449,-71.1004,2
42.332,-71.057,1
42.3536,-71.0494,1
42.3534,-71.0481,1
42.3538,-71.0551,2
42.3472,-71.0762,3
42.3559,-71.0707,16
42.362,-71.0626,2
42.3403,-71.087,1
42.3602,-71.0595,1
42.3684,-71.0223,1
42.3443,-71.0995,1
42.3489,-71.0696,1
42.3458,-71.0884,2
42.3571,-71.0557,3
42.3646,-71.0624,3
42.3523,-71.0562,15
42.3557,-71.0734,1
42.3545,-71.1325,3
42.3341,-71.1047,4
42.356,-71.0527,64
42.3609,-71.0715,1
42.342,-71.0965,1
42.3531,-71.0556,2
42.3513,-71.0817,3
42.3503,-71.0565,510
42.3567,-71.0554,6
42.3617,-71.0672,11
42.3582,-71.0628,8
42.3487,-71.0886,51
42.3543,-71.0617,5
42.3475,-71.0802,21
42.347,-71.0492,3
42.3646,-71.0184,1
42.3521,-71.0812,1
42.3497,-71.0994,1
42.3457,-71.0796,1
42.3408,-71.0875,1
42.3535,-71.1378,4
42.3523,-71.1294,1
42.3627,-71.0684,3
42.3497,-71.1046,6
42.3592,-71.0706,7
42.3444,-71.0772,1
42.3649,-71.0615,17
42.3491,-71.0995,9
42.3417,-71.0865,549
42.3553,-71.0527,8
42.3446,-71.0279,13
42.3683,-71.0568,2
42.3505,-71.0732,2
42.3487,-71.0407,16
42.349,-71.0395,3
42.3551,-71.0508,1
42.3529,-71.0709,62
42.3494,-71.0827,1
42.3553,-71.0548,2
42.349,-71.1518,5
42.3527,-71.0551,39
42.3639,-71.122,1
42.3531,-71.0819,1
42.3589,-71.0701,2
42.3694,-71.0255,1
42.3541,-71.0532,4
42.3572,-71.0645,4
42.338,-71.0953,1
42.367,-71.0522,6
42.3379,-71.1075,2
42.3687,-71.0237,1
42.36,-71.0513,1
42.3487,-71.0388,42
42.3512,-71.1176,10
42.3531,-71.048,3
42.3388,-71.0977,1
42.3644,-71.0174,1
42.3455,-71.0868,9
42.3494,-71.0402,3
42.3341,-71.1043,13
42.3641,-71.0699,1
42.3456,-71.0815,58
42.3316,-71.0555,2
42.341,-71.0786,2
42.3619,-71.068,1
42.3566,-71.057,6
42.3459,-71.0829,11
42.3577,-71.0558,2
42.3538,-71.0534,101
42.3507,-71.1303,4
42.3481,-71.0829,5
