latitude,longitude,count
42.3478,-71.0816,3
42.3524,-71.0713,1
42.3508,-71.0402,1
42.3667,-71.0208,1
42.364,-71.0555,4
42.3633,-71.056,1
42.3536,-71.1369,5
42.3488,-71.0713,1
42.3612,-71.0568,1
42.3524,-71.0631,8
42.3423,-71.1038,3
42.3573,-71.0684,1
42.3472,-71.0657,1
42.3579,-71.0573,4
42.3602,-71.0603,1
42.3447,-71.0375,1
42.3602,-71.063,1
42.3598,-71.0517,4
42.3495,-71.0422,1
42.3482,-71.0743,1
42.3595,-71.0555,3
42.3534,-71.0566,3
42.3521,-71.048,4
42.3583,-71.0698,1
42.343,-71.0812,2
42.344,-71.0325,10
42.3386,-71.1039,1
42.3548,-71.0517,3
42.3637,-71.0204,1
42.3408,-71.0879,2
42.3615,-71.0688,8
42.3568,-71.0542,63
42.3641,-71.0699,1
42.3646,-71.069,3
42.3513,-71.0852,2
42.3437,-71.0271,1
42.3599,-71.0506,570
42.3575,-71.0611,85
42.3626,-71.0184,30
42.3619,-71.0657,2
42.3463,-71.0954,12
42.3478,-71.0819,2
42.3451,-71.1006,11
42.3369,-71.1026,4
42.2899,-71.0631,1
42.3619,-71.0198,2
42.3296,-71.0531,1
42.3495,-71.0436,1
42.3484,-71.0635,3
42.3498,-71.0414,9
42.343,-71.0913,1
42.3499,-71.0755,1
42.3436,-71.0791,2
42.3544,-71.0592,10
42.3524,-71.0627,20
42.3444,-71.0714,3
42.341,-71.0875,4
42.3574,-71.0551,4
42.3494,-71.0792,13
42.3476,-71.0438,4
42.3509,-71.0708,7
42.3666,-71.0182,3
42.3518,-71.0665,1
42.3497,-71.0804,7
42.3528,-71.0458,3
42.3572,-71.0542,2
42.3202,-71.0479,1
42.3472,-71.051,4
42.3441,-71.0896,4
42.3453,-71.0957,11
42.359,-71.0522,5
42.3441,-71.0993,18
42.3521,-71.0554,19
42.3507,-71.0827,3
42.3589,-71.0537,1
42.3488,-71.0964,35
42.3458,-71.0821,13
42.3535,-71.0621,5
42.3472,-71.094,1
42.3306,-71.0621,1
42.3645,-71.0536,7
42.3681,-71.0561,1
42.3289,-71.0574,1
42.3431,-71.0736,4
42.336,-71.1059,1
42.354,-71.1365,3
42.3601,-71.0524,1
42.342,-71.0966,3
42.3427,-71.0847,16
42.3356,-71.0381,9
42.3486,-71.0969,12
42.3646,-71.0632,4
42.3456,-71.085,2
42.3392,-71.0917,2
42.3624,-71.0647,8
42.3634,-71.0648,1
42.343,-71.0971,5
42.3503,-71.0677,1
42.3494,-71.0391,1
42.3008,-71.1145,81
42.3652,-71.0624,2
42.3473,-71.0769,1
42.3418,-71.1041,1
42.332,-71.057,1
42.359,-71.0653,1
42.3534,-71.0481,2
42.335,-71.1018,1
42.3472,-71.0762,3
42.3559,-71.0707,9
42.3521,-71.0888,1
42.3512,-71.0578,1
42.3538,-71.0475,2
42.3551,-71.0619,2
42.3503,-71.0714,1
42.3495,-71.0873,1
42.3518,-71.1134,1
42.3571,-71.0557,3
42.3646,-71.0624,1
42.3523,-71.0562,7
42.3471,-71.0855,2
42.3481,-71.0966,1
42.3341,-71.1047,1
42.3405,-71.0413,2
42.3688,-71.0181,1
42.3527,-71.0584,1
42.342,-71.0965,6
42.3597,-71.0668,1
42.3513,-71.0817,1
42.3503,-71.0565,483
42.3567,-71.0554,6
42.3617,-71.0672,11
42.3582,-71.0628,5
42.3487,-71.0886,33
42.3549,-71.0621,2
42.3543,-71.0617,5
42.3475,-71.0802,25
42.347,-71.0492,3
42.3506,-71.0892,2
42.353,-71.0818,1
42.3652,-71.0692,2
42.3408,-71.0875,1
42.3535,-71.1378,1
42.3523,-71.0669,1
42.3627,-71.0684,3
42.3519,-71.0775,3
42.3497,-71.0421,1
42.3557,-71.072,5
42.3444,-71.0772,2
42.3649,-71.0615,21
42.3491,-71.0995,7
42.3417,-71.0865,484
42.3553,-71.0527,11
42.3446,-71.0279,16
42.3478,-71.098,20
42.3505,-71.0732,4
42.3476,-71.0929,2
42.349,-71.0395,5
42.3641,-71.0539,9
42.3527,-71.0551,41
42.3589,-71.0701,2
42.3541,-71.0532,7
42.3563,-71.0556,2
42.3487,-71.0627,1
42.367,-71.0522,5
42.3379,-71.1075,1
42.3687,-71.0237,2
42.3544,-71.0565,2
42.357,-71.0567,1
42.3487,-71.0388,27
42.3383,-71.0503,5
42.3611,-71.0192,1
42.3512,-71.1176,12
42.3363,-71.1102,1
42.3455,-71.0868,6
42.3492,-71.0823,1
42.355,-71.0733,1
42.3341,-71.1043,2
42.363,-71.0168,1
42.3413,-71.0824,1
42.3456,-71.0815,42
42.3316,-71.0555,4
42.341,-71.0786,2
42.3496,-71.0401,1
42.3566,-71.057,2
42.3459,-71.0829,13
42.3577,-71.0558,1
42.3538,-71.0534,84
42.3652,-71.0178,1
42.35,-71.0758,2
42.3378,-71.1087,1
42.3565,-71.0673,1
42.3489,-71.0798,3
42.3495,-71.071,2
42.3367,-71.0477,5
42.3516,-71.0845,1
42.3445,-71.0362,3
42.3659,-71.0621,1
42.3651,-71.0689,9
42.3386,-71.0926,1
42.3558,-71.0714,23
42.3494,-71.095,9
42.3692,-71.0197,11
42.3489,-71.0919,1
42.349,-71.0397,5
42.3528,-71.0759,1
42.3593,-71.0677,4
42.3506,-71.0702,10
42.3304,-71.0582,1
42.3504,-71.0905,1
42.3655,-71.1216,2
42.3488,-71.0382,10
42.3661,-71.061,3
42.3689,-71.0248,1
42.3511,-71.0407,1
42.3479,-71.076,114
42.37,-71.0252,2
42.3512,-71.0493,1
42.3697,-71.0206,3
42.36,-71.0516,1
42.3558,-71.0518,19
42.3519,-71.074,5
42.3676,-71.0184,2
42.3405,-71.0702,1
42.3512,-71.0739,9
42.3656,-71.0181,2
42.3461,-71.0795,2
42.3485,-71.0465,1
42.3481,-71.0504,2
42.3532,-71.0725,1
42.3497,-71.0639,1
42.3533,-71.0645,18
42.346,-71.0781,1
42.3465,-71.0814,29
42.355,-71.053,4
42.3515,-71.0804,6
42.3654,-71.0605,2
42.3511,-71.0572,5
42.3511,-71.0433,1
42.3589,-71.0696,4
42.3527,-71.0759,3
42.3434,-71.0731,2
42.3537,-71.1389,2
42.3482,-71.0396,199
42.3507,-71.0655,6
42.3592,-71.0595,31
42.3555,-71.06,1
42.3288,-71.0569,3
42.3456,-71.0975,1
